entrez_id	symbol_id	dependency_column	qc_pass
4299	AFF1	AFF1 (4299)	False
2334	AFF2	AFF2 (2334)	False
3899	AFF3	AFF3 (3899)	False
27125	AFF4	AFF4 (27125)	False
246269	AFG1L	AFG1L (246269)	False
10939	AFG3L2	AFG3L2 (10939)	True
173	AFM	AFM (173)	False
125061	AFMID	AFMID (125061)	False
174	AFP	AFP (174)	False
54812	AFTPH	AFTPH (54812)	False
175	AGA	AGA (175)	False
116987	AGAP1	AGAP1 (116987)	False
116986	AGAP2	AGAP2 (116986)	False
116988	AGAP3	AGAP3 (116988)	False
729092	AGAP5	AGAP5 (729092)	False
414189	AGAP6	AGAP6 (414189)	False
642517	AGAP9	AGAP9 (642517)	False
123624	AGBL1	AGBL1 (123624)	False
79841	AGBL2	AGBL2 (79841)	False
340351	AGBL3	AGBL3 (340351)	False
84871	AGBL4	AGBL4 (84871)	True
60509	AGBL5	AGBL5 (60509)	False
177	AGER	AGER (177)	False
3267	AGFG1	AGFG1 (3267)	True
3268	AGFG2	AGFG2 (3268)	False
55109	AGGF1	AGGF1 (55109)	False
55750	AGK	AGK (55750)	False
178	AGL	AGL (178)	False
79814	AGMAT	AGMAT (79814)	False
392636	AGMO	AGMO (392636)	False
26523	AGO1	AGO1 (26523)	False
27161	AGO2	AGO2 (27161)	True
192669	AGO3	AGO3 (192669)	False
192670	AGO4	AGO4 (192670)	False
10554	AGPAT1	AGPAT1 (10554)	False
10555	AGPAT2	AGPAT2 (10555)	False
56894	AGPAT3	AGPAT3 (56894)	False
56895	AGPAT4	AGPAT4 (56895)	False
55326	AGPAT5	AGPAT5 (55326)	False
8540	AGPS	AGPS (8540)	False
10551	AGR2	AGR2 (10551)	False
155465	AGR3	AGR3 (155465)	False
375790	AGRN	AGRN (375790)	False
181	AGRP	AGRP (181)	False
183	AGT	AGT (183)	False
23287	AGTPBP1	AGTPBP1 (23287)	False
185	AGTR1	AGTR1 (185)	False
186	AGTR2	AGTR2 (186)	False
57085	AGTRAP	AGTRAP (57085)	False
189	AGXT	AGXT (189)	False
64902	AGXT2	AGXT2 (64902)	False
25909	AHCTF1	AHCTF1 (25909)	True
191	AHCY	AHCY (191)	True
10768	AHCYL1	AHCYL1 (10768)	True
23382	AHCYL2	AHCYL2 (23382)	False
27245	AHDC1	AHDC1 (27245)	False
54806	AHI1	AHI1 (54806)	False
79026	AHNAK	AHNAK (79026)	False
113146	AHNAK2	AHNAK2 (113146)	False
196	AHR	AHR (196)	True
57491	AHRR	AHRR (57491)	False
10598	AHSA1	AHSA1 (10598)	False
197	AHSG	AHSG (197)	False
51327	AHSP	AHSP (51327)	False
57379	AICDA	AICDA (57379)	False
64853	AIDA	AIDA (64853)	False
199	AIF1	AIF1 (199)	False
83543	AIF1L	AIF1L (83543)	False
9131	AIFM1	AIFM1 (9131)	False
84883	AIFM2	AIFM2 (84883)	False
150209	AIFM3	AIFM3 (150209)	False
51390	AIG1	AIG1 (51390)	False
9447	AIM2	AIM2 (9447)	False
9255	AIMP1	AIMP1 (9255)	False
7965	AIMP2	AIMP2 (7965)	False
9049	AIP	AIP (9049)	True
23746	AIPL1	AIPL1 (23746)	False
326	AIRE	AIRE (326)	False
55966	AJAP1	AJAP1 (55966)	False
389813	AJM1	AJM1 (389813)	False
84962	AJUBA	AJUBA (84962)	True
203	AK1	AK1 (203)	False
204	AK2	AK2 (204)	True
50808	AK3	AK3 (50808)	False
205	AK4	AK4 (205)	False
26289	AK5	AK5 (26289)	False
102157402	AK6	AK6 (102157402)	True
122481	AK7	AK7 (122481)	False
158067	AK8	AK8 (158067)	False
221264	AK9	AK9 (221264)	False
642597	AKAIN1	AKAIN1 (642597)	False
8165	AKAP1	AKAP1 (8165)	False
11216	AKAP10	AKAP10 (11216)	False
11215	AKAP11	AKAP11 (11215)	False
9590	AKAP12	AKAP12 (9590)	False
11214	AKAP13	AKAP13 (11214)	False
158798	AKAP14	AKAP14 (158798)	False
10566	AKAP3	AKAP3 (10566)	False
8852	AKAP4	AKAP4 (8852)	False
9495	AKAP5	AKAP5 (9495)	False
9472	AKAP6	AKAP6 (9472)	False
9465	AKAP7	AKAP7 (9465)	False
10270	AKAP8	AKAP8 (10270)	False
26993	AKAP8L	AKAP8L (26993)	False
10142	AKAP9	AKAP9 (10142)	False
56672	AKIP1	AKIP1 (56672)	False
79647	AKIRIN1	AKIRIN1 (79647)	False
55122	AKIRIN2	AKIRIN2 (55122)	True
80709	AKNA	AKNA (80709)	False
254268	AKNAD1	AKNAD1 (254268)	False
10327	AKR1A1	AKR1A1 (10327)	False
231	AKR1B1	AKR1B1 (231)	False
57016	AKR1B10	AKR1B10 (57016)	False
441282	AKR1B15	AKR1B15 (441282)	False
1646	AKR1C2	AKR1C2 (1646)	False
8644	AKR1C3	AKR1C3 (8644)	False
1109	AKR1C4	AKR1C4 (1109)	False
6718	AKR1D1	AKR1D1 (6718)	False
83592	AKR1E2	AKR1E2 (83592)	False
8574	AKR7A2	AKR7A2 (8574)	False
22977	AKR7A3	AKR7A3 (22977)	False
207	AKT1	AKT1 (207)	True
84335	AKT1S1	AKT1S1 (84335)	False
208	AKT2	AKT2 (208)	True
10000	AKT3	AKT3 (10000)	False
64400	AKTIP	AKTIP (64400)	False
210	ALAD	ALAD (210)	True
211	ALAS1	ALAS1 (211)	True
212	ALAS2	ALAS2 (212)	False
213	ALB	ALB (213)	False
214	ALCAM	ALCAM (214)	False
126133	ALDH16A1	ALDH16A1 (126133)	False
5832	ALDH18A1	ALDH18A1 (5832)	True
216	ALDH1A1	ALDH1A1 (216)	False
8854	ALDH1A2	ALDH1A2 (8854)	False
220	ALDH1A3	ALDH1A3 (220)	False
219	ALDH1B1	ALDH1B1 (219)	False
10840	ALDH1L1	ALDH1L1 (10840)	False
160428	ALDH1L2	ALDH1L2 (160428)	False
217	ALDH2	ALDH2 (217)	False
218	ALDH3A1	ALDH3A1 (218)	False
224	ALDH3A2	ALDH3A2 (224)	False
