ModelID,0,1,2,3,4,5,6,7,8,9
ACH-000371,-0.20695953,0.014799833,1.4318266,1.7268736,-0.4499843,0.24716808,1.2771504,-0.62012464,0.44608462,-1.0647782
ACH-000042,-1.2137278,0.52633613,-1.0999322,-0.110513255,0.79061687,-1.157655,0.61956155,-0.6607875,-1.0167317,0.13281327
ACH-000528,-0.07729477,0.7557886,1.6679535,-0.9090605,2.115428,0.014100075,0.117676556,0.18242852,-0.4474768,-0.07535255
ACH-000788,0.80522966,1.3657134,0.041723818,-0.08830352,0.9121593,-0.12089971,0.06948635,0.4121747,1.1949877,2.0355783
ACH-000517,-0.1999206,0.3298279,-0.5829225,0.18249725,-1.0157559,-0.7370714,0.9983981,0.17248034,-0.45916903,-1.0685121
ACH-002650,-0.8675206,1.033057,-1.1095309,-0.83672,1.6502652,-0.710539,-1.1802851,0.032034636,-0.36020875,0.0041163117
ACH-001375,1.3666188,1.1367251,-0.80173296,-0.041630227,0.30404633,-0.54924715,-0.5333428,-0.54408056,-0.53329885,0.37564686
ACH-000800,-0.14066058,-0.9242169,-0.20804653,-0.9693593,-0.8729352,1.8476607,0.4991086,-0.10206053,-1.181474,0.14911968
ACH-001820,0.35931584,-0.05219102,-0.22405435,0.11912608,-0.16460025,-0.4247142,0.5920651,0.09581439,-1.2802992,-0.9312856
ACH-000916,-0.7355216,-1.328521,-0.95394534,-0.3687793,-2.7020829,0.08190054,0.40950015,0.069714114,-0.8616605,-0.31851345
ACH-000078,0.3512913,-1.493183,-0.03031139,0.17851728,1.9085621,-0.16028345,-0.41509655,-0.7069348,-1.1508161,1.4781239
ACH-000311,0.10525618,0.7635138,-0.09344953,-0.21885753,0.69183147,2.0416255,-1.2864251,0.2503655,-1.5622319,-0.14574873
ACH-001702,-0.15897952,-0.012881219,-0.7242708,-0.5110601,1.1302171,-0.82564217,-0.85849744,1.2134796,-0.34563708,2.345298
ACH-001354,-1.4513549,-0.73087233,-0.23318098,0.25562,-0.4880825,1.0691736,0.22467108,0.102322936,-0.24392948,0.11412585
ACH-000055,0.66549957,0.2101201,0.42313296,1.6126779,0.6909073,-0.75543666,1.174986,0.00935781,1.2052174,-0.25470078
ACH-001172,-0.30258518,-0.06889364,1.8106005,-1.3198575,-0.012710243,-0.031847775,0.55871546,0.55266684,0.01272786,0.6230784
ACH-001539,0.101682544,-1.7189513,-0.2882181,0.1354599,-0.3896532,1.6993959,-0.10196437,0.7138199,-0.60768026,-1.3727192
ACH-000296,-1.2312162,0.6972186,-0.7158403,-0.8051193,-1.8611393,0.3419665,-0.001236856,-0.70763266,0.6665561,0.83747286
ACH-002512,-1.3940463,-1.2363672,-0.13642462,0.5028948,-0.34989712,2.8043692,-0.3313167,0.27850005,-0.48614803,0.3253102
ACH-000853,-0.5595207,1.0062411,1.5832248,0.043437857,-1.4959034,-0.21809249,-1.1165898,-0.24597967,-0.27881056,-1.1670473
ACH-000618,-0.14410597,0.29160383,2.0471783,-0.075279064,-0.5917014,0.6417056,0.22844005,-0.572974,-0.75697124,1.3582987
ACH-000213,-1.1806431,0.5000677,0.011175942,1.0779982,-1.3990192,-0.7336558,-0.7487722,-1.3806143,-1.1207836,-0.21885529
ACH-001552,0.68905914,-1.0072691,-1.1190732,-1.2219694,-0.16490124,-0.62385654,0.30571193,0.13815543,0.30661342,-0.65668726
ACH-000978,0.807336,-1.3941474,0.04514891,-0.44510382,0.49400932,1.5076491,-0.71563816,0.31592426,0.1934923,0.33710095
ACH-000198,-0.039520875,0.17228448,2.730417,2.5718179,1.7966708,-0.36886537,1.7312316,0.6575781,2.007117,0.11866477
ACH-002189,0.3909207,0.11887966,-0.58249503,-0.9001742,0.10998666,0.43879157,0.15269852,-0.096935034,0.5105052,0.4327131
ACH-000961,-0.1811297,-0.0061095953,0.7092951,-0.6502519,-0.29385155,2.9179983,0.5396026,-1.107156,-0.23244163,1.5990088
ACH-000968,0.45717728,0.0046925545,1.8163537,-0.41246933,1.193303,1.6433074,-0.6794565,0.43267372,0.02804029,0.63599354
ACH-000007,-0.11513397,0.9505206,0.9546753,1.4383157,1.5287356,0.097958036,-0.57758904,-1.4191716,-0.19570547,2.1119468
